host_time_iso,elapsed_s,firmware,board_id,sequence,average,temperature_c,bx_mt,by_mt,bz_mt,status_hex,raw_line
2026-07-10T15:58:06.808,0.596,0.2.1,4,1091,10,35.2300,-0.1100,-0.3200,-0.1600,0x13,"$ND280,VER=0.2.1,ID=4,SEQ=1091,AVG=10,T=35.23,BX=-0.11,BY=-0.32,BZ=-0.16,STATUS=0x13"
2026-07-10T15:58:08.073,1.861,0.2.1,4,1092,10,34.6600,-0.1300,-0.2500,-0.2100,0x53,"$ND280,VER=0.2.1,ID=4,SEQ=1092,AVG=10,T=34.66,BX=-0.13,BY=-0.25,BZ=-0.21,STATUS=0x53"
2026-07-10T15:58:09.338,3.126,0.2.1,4,1093,10,34.6500,-0.1500,-0.3200,-0.1900,0x93,"$ND280,VER=0.2.1,ID=4,SEQ=1093,AVG=10,T=34.65,BX=-0.15,BY=-0.32,BZ=-0.19,STATUS=0x93"
2026-07-10T15:58:10.649,4.437,0.2.1,4,1094,10,33.8100,-0.0600,-0.2000,-0.2000,0xD3,"$ND280,VER=0.2.1,ID=4,SEQ=1094,AVG=10,T=33.81,BX=-0.06,BY=-0.20,BZ=-0.20,STATUS=0xD3"
2026-07-10T15:58:11.881,5.669,0.2.1,4,1095,10,34.1800,-0.0800,-0.2800,-0.2100,0x13,"$ND280,VER=0.2.1,ID=4,SEQ=1095,AVG=10,T=34.18,BX=-0.08,BY=-0.28,BZ=-0.21,STATUS=0x13"
2026-07-10T15:58:13.135,6.923,0.2.1,4,1096,10,33.9000,-0.0900,-0.2800,-0.1700,0x53,"$ND280,VER=0.2.1,ID=4,SEQ=1096,AVG=10,T=33.90,BX=-0.09,BY=-0.28,BZ=-0.17,STATUS=0x53"
