host_time_iso,elapsed_s,firmware,board_id,sequence,average,temperature_c,bx_mt,by_mt,bz_mt,status_hex,raw_line
2026-07-16T01:08:54.496,21535.851,0.5.2-alpha1a,4,30540,10,27.9600,-0.1900,-0.3300,0.1100,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30540,AVG=10,CAL=DEFAULT,T=27.96,BX=-0.19,BY=-0.33,BZ=0.11,STATUS=0xD1"
2026-07-16T01:08:55.904,21537.259,0.5.2-alpha1a,4,30541,10,27.7400,-0.0600,-0.2900,0.1200,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30541,AVG=10,CAL=DEFAULT,T=27.74,BX=-0.06,BY=-0.29,BZ=0.12,STATUS=0x11"
2026-07-16T01:08:57.154,21538.510,0.5.2-alpha1a,4,30542,10,27.9100,-0.1900,-0.3200,0.1200,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30542,AVG=10,CAL=DEFAULT,T=27.91,BX=-0.19,BY=-0.32,BZ=0.12,STATUS=0x51"
2026-07-16T01:08:58.549,21539.904,0.5.2-alpha1a,4,30543,10,28.2200,-0.0700,-0.2800,0.0900,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30543,AVG=10,CAL=DEFAULT,T=28.22,BX=-0.07,BY=-0.28,BZ=0.09,STATUS=0x91"
2026-07-16T01:08:59.968,21541.323,0.5.2-alpha1a,4,30544,10,28.1200,-0.0800,-0.2900,0.1200,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30544,AVG=10,CAL=DEFAULT,T=28.12,BX=-0.08,BY=-0.29,BZ=0.12,STATUS=0xD1"
2026-07-16T01:09:01.413,21542.768,0.5.2-alpha1a,4,30545,10,27.6600,-0.1200,-0.3400,0.1300,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30545,AVG=10,CAL=DEFAULT,T=27.66,BX=-0.12,BY=-0.34,BZ=0.13,STATUS=0x11"
2026-07-16T01:09:02.696,21544.052,0.5.2-alpha1a,4,30546,10,27.7700,-0.0700,-0.2900,0.1200,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30546,AVG=10,CAL=DEFAULT,T=27.77,BX=-0.07,BY=-0.29,BZ=0.12,STATUS=0x51"
2026-07-16T01:09:04.081,21545.436,0.5.2-alpha1a,4,30547,10,27.8600,-0.0900,-0.3800,0.1100,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30547,AVG=10,CAL=DEFAULT,T=27.86,BX=-0.09,BY=-0.38,BZ=0.11,STATUS=0x91"
2026-07-16T01:09:05.490,21546.845,0.5.2-alpha1a,4,30548,10,28.1200,-0.0600,-0.3000,0.1500,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30548,AVG=10,CAL=DEFAULT,T=28.12,BX=-0.06,BY=-0.30,BZ=0.15,STATUS=0xD1"
2026-07-16T01:09:06.897,21548.252,0.5.2-alpha1a,4,30549,10,27.6600,-0.0400,-0.3200,0.1500,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30549,AVG=10,CAL=DEFAULT,T=27.66,BX=-0.04,BY=-0.32,BZ=0.15,STATUS=0x11"
