host_time_iso,elapsed_s,firmware,board_id,sequence,average,temperature_c,bx_mt,by_mt,bz_mt,status_hex,raw_line
2026-07-10T16:47:22.831,1.011,0.2.1,4,3428,10,32.5700,-0.0700,-0.2900,-0.2500,0x53,"$ND280,VER=0.2.1,ID=4,SEQ=3428,AVG=10,T=32.57,BX=-0.07,BY=-0.29,BZ=-0.25,STATUS=0x53"
2026-07-10T16:47:24.070,2.250,0.2.1,4,3429,10,32.8000,-0.1300,-0.2000,-0.1900,0x93,"$ND280,VER=0.2.1,ID=4,SEQ=3429,AVG=10,T=32.80,BX=-0.13,BY=-0.20,BZ=-0.19,STATUS=0x93"
2026-07-10T16:47:25.328,3.508,0.2.1,4,3430,10,32.8000,-0.1100,-0.2800,-0.1700,0xD3,"$ND280,VER=0.2.1,ID=4,SEQ=3430,AVG=10,T=32.80,BX=-0.11,BY=-0.28,BZ=-0.17,STATUS=0xD3"
